timestamp,run_name,blob_name,Noctiluca,Phyto_Centrics,Tripos,bubbles,copepods,fish_eggs,fish_larvae,other
2000-01-01 00:00:00+00:00,inference-2026-08-20T16-49-50Z-2025-06-05,timeseries.json,0,68,55,37,12,0,0,830
2000-01-02 00:00:00+00:00,inference-2026-08-20T16-49-50Z-2025-06-05,timeseries.json,0,80,64,41,4,0,0,867
2000-01-03 00:00:00+00:00,inference-2026-08-20T16-49-50Z-2025-06-05,timeseries.json,1,499,423,820,35,3,0,5972
2000-01-04 00:00:00+00:00,inference-2026-08-20T16-49-50Z-2025-06-05,timeseries.json,0,3,36,59,0,0,0,92
2000-01-05 00:00:00+00:00,inference-2026-08-20T16-49-50Z-2025-06-05,timeseries.json,0,3,54,34,1,0,0,99
2000-01-06 00:00:00+00:00,inference-2026-08-20T16-49-50Z-2025-06-05,timeseries.json,0,2,34,34,2,0,0,93
2000-01-07 00:00:00+00:00,inference-2026-08-20T16-49-50Z-2025-06-05,timeseries.json,0,1,28,61,0,0,0,54
2000-01-08 00:00:00+00:00,inference-2026-08-20T16-49-50Z-2025-06-05,timeseries.json,0,3,39,43,4,0,0,77
2000-01-09 00:00:00+00:00,inference-2026-08-20T16-49-50Z-2025-06-05,timeseries.json,0,4,41,40,6,0,0,81
2000-01-10 00:00:00+00:00,inference-2026-08-20T16-49-50Z-2025-06-05,timeseries.json,0,0,25,43,2,0,0,139
2000-01-11 00:00:00+00:00,inference-2026-08-20T16-49-50Z-2025-06-05,timeseries.json,0,3,44,33,2,0,0,103
2000-01-12 00:00:00+00:00,inference-2026-08-20T16-49-50Z-2025-06-06,timeseries.json,0,6,11,7670,1,0,0,131
2000-01-13 00:00:00+00:00,inference-2026-08-20T16-49-50Z-2025-06-06,timeseries.json,0,1,2,2031,0,0,0,60
2000-01-14 00:00:00+00:00,inference-2026-08-20T16-49-50Z-2025-06-06,timeseries.json,0,3,25,92,7,0,0,147
2000-01-15 00:00:00+00:00,inference-2026-08-20T16-49-50Z-2025-06-06,timeseries.json,0,4,42,11,8,0,0,170
2000-01-16 00:00:00+00:00,inference-2026-08-20T16-49-50Z-2025-06-06,timeseries.json,0,7,57,10,9,0,0,195
